#{"t_start": 1743914312.7651405, "env_id": "None"}
r,l,t
-726.70656,20,2.956357
-583.596669,17,2.968762
-1032.750429,26,2.989138
-673.094696,18,3.002521
-550.926404,16,3.013268
-851.512826,22,3.026464
-433.596669,14,3.037367
-402.901518,13,3.050299
-202.901518,9,3.057458
-450.926404,14,3.067567
-500.632759,15,3.077145
-305.18441,11,3.084146
-449.162866,14,3.09939
-348.008696,12,3.108532
-631.367883,18,3.121807
-80.28717,7,3.129168
-602.901518,17,3.14036
-156.728369,8,3.148002
-498.008696,15,3.159222
-597.063518,17,3.17142
-49.063104,6,3.179404
-806.569001,21,3.193548
-303.207857,11,3.203704
-653.777975,18,3.222437
-554.308722,16,3.235485
-1652.091988,38,3.268282
-405.778134,13,3.27832
-501.068029,15,3.291765
-245.997559,10,3.299288
-501.068029,15,3.31165
-280.60809,11,3.320606
-1974.907616,44,3.353948
-42.141564,6,3.358885
-552.804011,16,3.370002
-126.775203,8,3.37626
-972.511292,24,3.398567
-127.720858,8,3.40256
-1053.328751,26,3.42202
-692.141564,19,3.434051
-353.846346,12,3.444114
-1276.775203,31,3.46934
-352.804011,12,3.479215
-526.775203,16,3.492741
-456.569001,14,3.50431
-433.053716,14,3.51347
2.65973,5,3.515468
-247.34027,10,3.523995
-356.33981,12,3.530506
-847.34027,22,3.547857
-706.569001,19,3.563321
-924.907616,23,3.579906
-1352.593986,32,3.604001
-1245.790043,30,3.62304
-800.020005,21,3.636867
-1147.772007,28,3.656542
-730.28717,20,3.673344
-172.511292,8,3.679586
-926.779341,24,3.69517
-703.777975,19,3.710207
-553.328751,16,3.720797
-902.901518,23,3.737384
-348.768374,12,3.744374
-405.778134,13,3.753022
-1698.7995,39,3.784541
-392.141564,13,3.795148
-105.871123,7,3.802929
-349.063104,12,3.810505
-605.871123,17,3.821383
-755.871123,20,3.855391
-226.775203,10,3.952297
-805.778134,21,3.995843
-224.975987,9,4.008396
-756.569001,20,4.041476
-548.768374,16,4.113415
-327.623504,12,4.143276
-547.296672,16,4.17448
-683.596669,19,4.214485
-423.094696,13,4.246131
-549.231237,16,4.287535
-482.750429,15,4.31648
-698.008696,19,4.360622
-145.997559,8,4.371202
-2801.068029,61,4.473991
-226.779341,10,4.493504
-727.720858,20,4.529002
-195.997559,9,4.545524
-1250.632759,30,4.59541
-850.802535,22,4.631484
-852.091988,22,4.663594
-653.185414,18,4.691715
-1298.281185,31,4.735121
-951.068029,24,4.764107
-1697.772007,39,4.810811
